,Unnamed: 0,날짜,기사제목
335,2, 2021.08.11 17:15,"넷마블 2분기 영업익, 전년比 80%↓…‘제2의나라’ 마케팅 부담"
336,3, 2021.08.11 16:40,"인건비 등 영업비용 '발목'…넷마블, 2분기 영업익 80%↓"
337,4, 2021.08.11 18:03,"넷마블, ‘스핀엑스’ 최소 7000억원 연매출 전망"
338,5, 2021.08.11 18:00,"마케팅비·인건비 증가한 넷마블, 하반기 반전 노린다"
339,6, 2021.08.11 16:17,"넷마블, 마케팅·인건비에 발목…2분기 매출 80.2%↓(상보)"
340,7, 2021.08.11 17:33,줄줄이 어닝쇼크…넥슨 엔씨 넷마블 '빅3'에 무슨 일이…
341,8, 2021.08.11 17:27,"""아 옛날이여""…·엔씨·넥슨·넷마블, 2Q 일제히 '빨간불' [종합]"
342,9, 2021.08.11 16:11,"넷마블, 2분기 영업익 162억원… 80% 급락"
343,10, 2021.08.11 16:09,넷마블 2Q 매출 5722억·영업익 162억…신작·M&A로 글로벌 역량...
344,11, 2021.08.11 15:55,[속보] 넷마블 2분기 영업익 162억…전년比 80.2%↓
345,12, 2021.08.11 15:50,"넷마블, 2분기 영업익 162억…전년比 80% 감소"
346,13, 2021.08.11 09:28,"카카오뱅크, 넷마블 지분 대량 매도 소식에도 하루 만에 반등"
347,14, 2021.08.11 08:11,"넷마블, 카뱅 주식 팔아 4300억 잭팟…스핀엑스에 쓸 듯"
348,15, 2021.08.10 18:01,"넷마블, 카뱅 주식 600만주 매각…4000억 벌었다 [마켓인사이트]"
349,16, 2021.08.10 17:47,넷마블. 카카오뱅크 주식 600만주 매각…현금 4301억 확보
350,17, 2021.08.10 17:39,"넷마블, 카카오뱅크 주식 600만주 4300억원에 팔았다"
351,18, 2021.08.10 17:21,"넷마블, 카뱅 600만주 팔아 4,300억 챙겼다"
352,19, 2021.08.10 16:58,"넷마블, 카카오뱅크 주식 600만주 매도"
353,0, 2022.01.07 15:42,"넷마블, 이승원 대표 글로벌 총괄 사장으로…도기욱 CFO 신임 각자 대..."
354,1, 2022.01.07 10:40,"넷마블, 이승원 대표 글로벌 총괄 사장으로 승진···신임 각자대표엔 ..."
355,2, 2022.01.07 13:14,"넷마블 '세븐나이츠2', 신규 전설 플러스 영웅 업데이트"
356,3, 2022.01.07 11:21,"넷마블, 이승원 대표 글로벌 총괄 맡는다"
357,4, 2022.01.07 10:35,"넷마블, 이승원 대표 글로벌총괄로…도기욱 신임 각자 대표 선임"
358,5, 2022.01.07 10:25,"넷마블, 이승원 대표 승진 발령…도기욱 CFO 신임 각자 대표로 내정"
359,6, 2022.01.07 10:20,"넷마블, 이승원 대표 글로벌 총괄로…도기욱 신임 각자대표 선임"
360,7, 2022.01.03 18:33,"""지난 2년간 경쟁력 잃었다""…방준혁, 올해 '강한 넷마블' 만든다"
361,8, 2022.01.03 17:56,"""글로벌 게임 경쟁력 갖춰야 ‘강한 넷마블’ 지속"""
362,9, 2022.01.03 16:08,"[신년사] 방준혁 넷마블·코웨이 의장 “강한 넷마블, 건강한 넷마블”..."
363,10, 2022.01.03 15:38,"넷마블 방준혁 의장 ""코로나로 경쟁력 잃어, 올해엔 재도약"""
364,11, 2022.01.03 14:00,"방준혁 의장 “강한 넷마블, 건강한 넷마블” 강조"
365,12, 2022.01.03 16:10,[마감시황] 새해 첫날 코스피 2988.77 마감…엔씨소프트·넷마블 상...
366,13, 2022.01.03 09:17,"""넷마블, P2E 및 블록체인 투자 확대"""
367,14, 2022.01.03 08:13,넷마블 P2E·NFT 시장 진출…제품 수명 주기 늘릴 것-KB
368,15, 2021.12.31 09:08,"넷마블, 당장 신용도 강등 위기는 벗어났지만…여전히 ‘위태’"
369,16, 2021.12.30 18:59,넷마블 “블록체인 게임 플랫폼 인수 미정”
370,17, 2021.12.28 16:06,"넷마블, ESG위원회 신설…위원장엔 권영식 대표"
371,18, 2021.12.28 12:23,"넷마블, ESG 경영위 신설…""지속가능경영 강화"""
372,0, 2021.08.11 16:09,넷마블 2Q 매출 5722억·영업익 162억…신작·M&A로 글로벌 역량...
373,1, 2021.08.11 15:55,[속보] 넷마블 2분기 영업익 162억…전년比 80.2%↓
374,2, 2021.08.11 15:50,"넷마블, 2분기 영업익 162억…전년比 80% 감소"
375,3, 2021.08.11 09:28,"카카오뱅크, 넷마블 지분 대량 매도 소식에도 하루 만에 반등"
376,4, 2021.08.11 08:11,"넷마블, 카뱅 주식 팔아 4300억 잭팟…스핀엑스에 쓸 듯"
377,5, 2021.08.10 18:01,"넷마블, 카뱅 주식 600만주 매각…4000억 벌었다 [마켓인사이트]"
378,6, 2021.08.10 17:47,넷마블. 카카오뱅크 주식 600만주 매각…현금 4301억 확보
379,7, 2021.08.10 17:39,"넷마블, 카카오뱅크 주식 600만주 4300억원에 팔았다"
380,8, 2021.08.10 17:21,"넷마블, 카뱅 600만주 팔아 4,300억 챙겼다"
381,9, 2021.08.10 16:58,"넷마블, 카카오뱅크 주식 600만주 매도"
382,10, 2021.08.10 17:49,"넷마블, 카카오뱅크 지분 팔아 3900억원 차익 얻어"
383,11, 2021.08.06 14:52,"한기평 “넷마블 스핀엑스 인수, 신용도 영향 제한적”"
384,12, 2021.08.06 10:02,[시그널] 2.5兆 스핀엑스 품은 넷마블···재무 여력은 부담
385,13, 2021.08.05 18:37,"넷마블, 무리한 M&A로 신용등급 강등 위기"
386,14, 2021.08.05 15:07,"[fn마켓워치] 넷마블, 소셜카지노 무리하게 삼켰나···신용도 강등 ..."
387,15, 2021.08.05 17:54,"[마켓인]""넷마블, 스핀엑스 인수해도 신용도 영향 제한적"""
388,16, 2021.08.04 19:01,"넷마블, 3조 기업 간다…스핀엑스 인수로 글로벌 경쟁력 강화"
389,17, 2021.08.04 17:55,"나신평 ""넷마블, 스핀오프 인수 재무부담 우려…하향검토 대상"""
390,0, 2021.08.10 16:58,"넷마블, 카카오뱅크 주식 600만주 매도"
391,1, 2021.08.06 14:52,"한기평 “넷마블 스핀엑스 인수, 신용도 영향 제한적”"
392,2, 2021.08.06 10:02,[시그널] 2.5兆 스핀엑스 품은 넷마블···재무 여력은 부담
393,3, 2021.08.05 18:37,"넷마블, 무리한 M&A로 신용등급 강등 위기"
394,4, 2021.08.05 15:07,"[fn마켓워치] 넷마블, 소셜카지노 무리하게 삼켰나···신용도 강등 ..."
395,5, 2021.08.05 17:54,"[마켓인]""넷마블, 스핀엑스 인수해도 신용도 영향 제한적"""
396,6, 2021.08.04 19:01,"넷마블, 3조 기업 간다…스핀엑스 인수로 글로벌 경쟁력 강화"
397,7, 2021.08.04 17:55,"나신평 ""넷마블, 스핀오프 인수 재무부담 우려…하향검토 대상"""
398,8, 2021.08.04 17:40,"넷마블, 스핀엑스 인수 부담에 신용등급 강등 위기…공격적인 M&A가 독..."
399,9, 2021.08.04 08:57,"삼성증권 “넷마블, 고성장 소셜카지노 확보로 글로벌 시너지 기대”"
