,Unnamed: 0,날짜,기사제목
12557,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12558,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12559,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12560,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12561,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12562,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12563,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12564,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12565,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12566,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12567,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12568,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12569,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12570,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12571,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12572,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12573,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12574,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12575,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12576,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12577,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12578,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12579,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12580,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12581,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12582,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
12583,15, 2021.10.15 09:29,"[오전시황] 삼성전자 '7만전자' 귀환···코스피 3,000선 탈환"
12584,0, 2021.10.15 11:49,삼성 美공장 파격혜택…테일러市 모든준비 끝
12585,1, 2021.10.15 11:20,"홍남기, 美 재무장관에 '삼성 반도체 정보 요구' 우려 전달 """
12586,2, 2021.10.15 11:19,"1기가 동영상이 10초면 '뚝딱'…삼성전자, '5G 업로드 속도' 신기..."
12587,3, 2021.10.15 09:53,"""1GB 전송 단 10초""···삼성전자, 5G업로드 신기록"
12588,4, 2021.10.15 09:34,"1? 영상 10초 만에 올린다… 삼성전자, 5G 최고 속도 달성"
12589,5, 2021.10.15 08:52,"“1기가 동영상을 10초만에” 삼성전자, ‘5G 업로드 속도’ 업계 ..."
12590,6, 2021.10.15 08:43,"""1기가 동영상 10초만에"" 삼성전자, '5G 업로드 속도' 신기록"
12591,7, 2021.10.15 08:23,"1기가 영화 10초만에…삼성전자, 5G 업로드 신기록 달성"
12592,8, 2021.10.15 11:00,"2년뒤 삼성전자 내는 디지털세...홍남기 ""남은 쟁점 치밀하게 논의"""
12593,9, 2021.10.15 10:14,"[특징주]삼성전자, 사흘만에 '7만 전자' 회복"
12594,10, 2021.10.15 09:52,"[특징주]삼성전자, 사흘 만에 '7만전자' 회복"
12595,11, 2021.10.15 09:42,삼성전자 3거래일만에 '7만전자' 회복…코스피도 3000선 상회
12596,12, 2021.10.15 09:41,"삼성전자·TSMC, 최후의 1인 가리는 '오징어게임' 시작됐다"
12597,13, 2021.10.15 09:40,'7만전자' 복귀한 삼성전자…반도체 업종 강세
12598,14, 2021.10.15 09:32,"코스피 3000, 삼성전자 7만원 '재돌파'"
