,Unnamed: 0,날짜,기사제목
189,4, 2021.08.04 14:16,"기업은행, KT와 '디지털 신사업' 추진…메타버스·AI 뱅커 만든다"
190,5, 2021.08.04 10:14,"기업은행-KT, 디지털 신사업 협력 강화"
191,6, 2021.08.04 09:22,"기업은행, KT와 메타버스 구축…디지털 협력 박차"
192,7, 2021.08.04 09:14,"IBK기업銀, KT와 디지털 신사업 공동추진 업무협약"
193,8, 2021.08.04 13:31,"KT, IBK기업은행과 중소기업 디지털전환 지원 협력"
194,9, 2021.08.04 09:16,"KT-IBK기업은행, 금융 DX 신사업 개발 나선다"
195,10, 2021.08.04 09:14,"KT-IBK기업은행, 중소기업 지원 나선다…금융DX 신사업 개발"
196,11, 2021.08.03 10:20,"""BBC와 뽀로로제작사가 손잡았다"" KT, 키즈랜드 전용 오리지널 콘텐..."
197,12, 2021.08.03 09:23,"KT, 올레 tv 키즈랜드 자연백과 상어편 출시"
198,13, 2021.08.03 10:05,"""문자메시지로 예약 변경 가능"" KT, 서울대치과병원에 '양방향 예약 ..."
199,14, 2021.08.03 09:28,"KT, 서울대치과병원서 양방향 예약 지킴이 서비스 시작"
200,15, 2021.08.03 09:11,"KT, 서울대치과병원과 '양방향 예약 지킴이' 서비스 시작"
201,16, 2021.08.02 15:30,"KT, 통신 넘어 콘텐츠·로봇·핀테크로 영토 확장"
202,0, 2022.01.24 11:42,"KT, 노키아와 30㎞ 프론트홀 검증…""무선 장애 해결, 빨라져"""
203,1, 2022.01.24 11:31,2000억 모집에 8200억 ‘뭉칫돈’ KT 회사채 ‘대흥행’ 배경된 ...
204,2, 2022.01.24 09:36,2000억 모집에 8200억 몰려…KT 회사채 ‘대흥행’ 왜?
205,3, 2022.01.24 10:11,"KT, 30km 장거리 프론트홀 상용망 검증 성공"
206,4, 2022.01.24 09:46,"KT, 설 연휴 대비 '네트워크 집중 관리 체제' 돌입"
207,5, 2022.01.23 17:53,KT 회사채 흥행… 2000억 수요예측에 4배 몰려
208,6, 2022.01.23 10:25,KT그룹 설맞아 파트너사에 756억 조기 지급
209,7, 2022.01.23 09:05,"KT, 설 앞두고 파트너사 납품대금 756억원 조기 지급"
210,8, 2022.01.23 09:00,"KT, 설 앞두고 파트너사 납품대금 756억원 조기 지급"
211,9, 2022.01.23 08:44,코스피 주간 기관인 순매수 1위 ‘KT’
212,10, 2022.01.22 16:25,"[시그널] '4,000억' 회사채 발행 늘린 KT, 크게 낮춘 조달금리..."
213,11, 2022.01.21 17:29,"KT, AI 그린 생태계 선도할 ‘환경DX 원팀’ 구성"
214,12, 2022.01.21 17:14,"회사채 발행 나선 KT, 'AAA' 등급 앞세워 수요예측 흥행"
215,13, 2022.01.21 17:01,KT 회사채 수요예측 흥행…모집금액 4배 몰렸다
216,14, 2022.01.21 16:49,KT 회사채 수요예측 흥행..모집금액의 4배 몰려
217,15, 2022.01.21 16:33,'AAA' KT 회사채 수요예측 흥행…모집금액의 4배 몰려
218,0, 2021.08.04 09:14,"IBK기업銀, KT와 디지털 신사업 공동추진 업무협약"
219,1, 2021.08.03 10:20,"""BBC와 뽀로로제작사가 손잡았다"" KT, 키즈랜드 전용 오리지널 콘텐..."
220,2, 2021.08.03 09:23,"KT, 올레 tv 키즈랜드 자연백과 상어편 출시"
221,3, 2021.08.03 10:05,"""문자메시지로 예약 변경 가능"" KT, 서울대치과병원에 '양방향 예약 ..."
222,4, 2021.08.03 09:28,"KT, 서울대치과병원서 양방향 예약 지킴이 서비스 시작"
223,5, 2021.08.03 09:11,"KT, 서울대치과병원과 '양방향 예약 지킴이' 서비스 시작"
224,6, 2021.08.02 15:30,"KT, 통신 넘어 콘텐츠·로봇·핀테크로 영토 확장"
225,7, 2021.08.02 15:23,"KT, 당근마켓과 ‘사장님 성공팩 이벤트’ 진행"
226,8, 2021.08.02 10:27,"KT, '세계최초 로봇 호텔' 국내 1호점에 AI호텔 서비스 제공"
227,9, 2021.08.02 09:17,"KT, 헨나호텔 서울 명동에 AI 호텔 서비스 적용"
228,10, 2021.08.02 09:10,"日 유명 로봇 호텔, 서울 진출…KT가 AI호텔 서비스 제공한다"
229,11, 2021.08.02 09:02,"KT, 로봇호텔 '헨나' 국내 1호점에 AI 접목"
230,12, 2021.08.02 10:04,KT '1533' 대표번호 출시···황금번호 선점하세요
231,13, 2021.08.02 09:21,"KT, 전국대표번호 1533 서비스 시작"
232,14, 2021.08.01 10:31,"KT, ‘랑톡’ 신규가입 시 기본료 3개월 면제 프로모션"
233,0, 2021.08.02 09:21,"KT, 전국대표번호 1533 서비스 시작"
234,1, 2021.08.02 09:17,"KT, 헨나호텔 서울 명동에 AI 호텔 서비스 적용"
235,2, 2021.08.02 09:10,"日 유명 로봇 호텔, 서울 진출…KT가 AI호텔 서비스 제공한다"
236,3, 2021.08.02 09:02,"KT, 로봇호텔 '헨나' 국내 1호점에 AI 접목"
237,4, 2021.08.01 10:31,"KT, ‘랑톡’ 신규가입 시 기본료 3개월 면제 프로모션"
238,5, 2021.07.30 11:45,"케이뱅크, KT와 손잡고 ‘스마트론’ 신용대출 출시"
239,6, 2021.07.30 09:58,"케이뱅크, KT와 '스마트론 신용대출' 출시"
240,7, 2021.07.30 09:32,"""스마트폰 할부 비용 절반으로""…케이뱅크·KT, '스마트론' 출시"
241,8, 2021.07.30 10:19,"케이뱅크, KT·BC카드와 '크로스!' 시너지 본격화"
242,9, 2021.07.29 18:17,"KT, ESG 보고서 첫 발간"
243,10, 2021.07.29 13:57,"KT, 첫 ESG 보고서 ‘KT ESG 리포트 2021’ 발간"
244,11, 2021.07.29 09:38,"KT, ESG 보고서 첫 발간"
245,12, 2021.07.29 09:14,"KT, 창사 이래 첫 ‘ESG 보고서’ 발간"
246,13, 2021.07.29 15:56,"KT, 창사 이래 첫 ESG 경영 보고서 발간"
247,14, 2021.07.29 12:54,"KT대구경북광역본부, 영덕군에 AI 반려로봇 보급한다"
248,15, 2021.07.29 11:55,"영화 '미나리' 할머니 손자, 디지코서 다시 만났다…KT, 'AI보이스..."
249,16, 2021.07.29 09:13,"KT, ESG 보고서 첫 발간 “첨단 기술로 함께 성장하는 대한민국 만..."
250,0, 2021.07.29 15:56,"KT, 창사 이래 첫 ESG 경영 보고서 발간"
251,1, 2021.07.29 13:57,"KT, 첫 ESG 보고서 ‘KT ESG 리포트 2021’ 발간"
252,2, 2021.07.29 09:38,"KT, ESG 보고서 첫 발간"
253,3, 2021.07.29 09:14,"KT, 창사 이래 첫 ‘ESG 보고서’ 발간"
254,4, 2021.07.29 12:54,"KT대구경북광역본부, 영덕군에 AI 반려로봇 보급한다"
255,5, 2021.07.29 11:55,"영화 '미나리' 할머니 손자, 디지코서 다시 만났다…KT, 'AI보이스..."
256,6, 2021.07.29 09:13,"KT, ESG 보고서 첫 발간 “첨단 기술로 함께 성장하는 대한민국 만..."
257,7, 2021.07.29 07:49,"KT, 우호적 주주환원·비통신 자회사 성장에 목표가↑-KB"
258,8, 2021.07.28 11:15,"KT, 중소 핀테크 기업에 클라우드 지원…금융권 DX 공략"
259,9, 2021.07.28 11:05,"KT, 중소 핀테크 기업에 금융 클라우드 서비스 지원"
260,10, 2021.07.28 09:18,핀테크 기업 돕는 KT…클라우드 지원·교육·홍보
261,11, 2021.07.28 09:17,"KT, 중소 핀테크 기업에 클라우드 서비스 제공"
262,12, 2021.07.28 10:42,"“항해장비 시장 도전장” KT, 선박해양플랜트연구소 등과 업무협약"
263,13, 2021.07.28 10:00,"해사 디지털 시장 선도…KT, KRISO·아비커스와 협력"
264,14, 2021.07.28 09:46,"KT, 차세대 글로벌 해양시장 도전 나선다"
265,15, 2021.07.28 09:26,"KT, 상반기 키즈랜드 최고의 콘텐츠는 '코코멜론'"
266,16, 2021.07.27 17:38,KT 5G·클라우드 접목해 한화 협동로봇 업그레이드
267,17, 2021.07.27 15:01,"KT-한화/기계, ‘스마트팩토리·로봇’ 제휴"
268,0, 2021.07.28 10:42,"“항해장비 시장 도전장” KT, 선박해양플랜트연구소 등과 업무협약"
269,1, 2021.07.28 10:00,"해사 디지털 시장 선도…KT, KRISO·아비커스와 협력"
270,2, 2021.07.28 09:46,"KT, 차세대 글로벌 해양시장 도전 나선다"
271,3, 2021.07.28 09:26,"KT, 상반기 키즈랜드 최고의 콘텐츠는 '코코멜론'"
